Term,Description
Definitions,
Move,An ability that isn't classified as Passive (has to be used).
Attack,An ability with a accuracy check (or substitute) and a damage roll.
Frequency,
Usage Limit,
"If no usage limit is specified, moves may be used any number of times during a game.",
Once,Can only be used once per game by this entity.
Twice,Can only be used twice per game by this entity.
Thrice,Can only be used three times per game by this entity.
Cooldown,
Every Turn,"Can be used each turn. Once/Twice/Thrice abilities are considered Every Turn if no cooldown is specified.
(If a special source grants more actions than usual, Movement/Standard/Full moves can be used multiple times per turn.)"
EoT,Every Other Turn. Cannot be used again for one round (usually the entity's previous turn).
E3T,Every Third Turn. Cannot be used again for two rounds (usually the entity's previous two turns).
Roll & Miss Rate,
Roll Notation,"Attack rolls are written as XdY+Z, where X is the number of dice rolled, Y is the number of base faces, and Z is a flat damage bonus added to the roll."
Miss Rate,"MR determines how likely it is for a move to miss, along with EVA."
Damage Type,
Physical,"Adds the user's ATK, and subtracts the target's PD."
Magical,"Adds the user's MAG, and subtracts the target's MD."
Action Type,
Movement,"One Movement action can be used per turn (before any Standard actions are used, unless the user is a Juggernaut). The Basic Movement action lets entities spend MP to move that many tiles. Entities cannot move diagonally."
Standard,"One Standard action may be used every turn. If an entity can no longer use any Standard actions, their turn ends."
Full,Full actions occupy both an entity's Movement and Standard action.
Swift,One Swift action can be used per turn. They cannot be used alongside Free actions.
Free,"Any amount of Free actions can be used per turn, but each Free action can only be used once per turn.
They cannot be used alongside Swift actions."
Trigger,"Each Trigger action can be used once per turn, and can be used with Free or Swift actions.
Some Triggers have a certain condition when they can be used (stated in the move)."
Reaction,"Reactions can be used when their condition is fulfilled (stated in the move). Reactions become invalid after 30 seconds. Each player cannot use more than one Reaction in response to an action, and they cannot react to a Reaction. If used in response to an attack, the Reaction is activated after damage is rolled (or another trigger specified in the description), but effects are resolved before damage is dealt, with any damage from the Reaction being dealt afterwards. (Players may declare Reactions without proper move format to use it.)"
Amount,
1.0,Targets one entity.
"2, 3, etc.",May target up to X entities.
AoE,"Targets all valid entities within range. AoE follows Range Rule, unless the obstructions are also targets. Their length cannot be increased/decreased, unless specfied otherwise. (Splash is AoE.)"
Group,
Moves only target entities in the specified group(s).,
Any,Any entity.
Self,The user of the ability.
Ally,A member of the user's team (except the user). The user can also target foes if both players consent.
Foe,An entity that is not the user or an ally.
Tile,"A tile coordinate, rather than an entity. Follows Ice Clause."
Range,
"Ranges follow Range Rule: Attacks travel in a straight line from you to your target(s) and cannot be obstructed.
(Global ignores Range Rule. Melee and Homing have special rules.)
**For targeting and Reactions, attacks that exclusively target entities in Melee range are treated (but not classified) as a Melee attack.",
Melee,"Targets any of the 8 tiles adjacent to the user. Unlike most ranges, it can target diagonally through two obstructions if at least one of them is an entity. A Melee ability that gains range becomes Range X but is still classified as Melee, and Melee range cannot be decreased."
Range X,Targets up to X tiles away from the user (diagonals count as two tiles).
Homing X,"Similar to Range X, but is able to curve around tiles and obstructions following the grid."
Line X,"Targets up to X tiles away in one of 8 directions: a cardinal line, or X/2 tiles diagonally (rounded up). Cannot target through obstructed Corners."
Global,"Targets any entity anywhere on the map, ignoring Range Rule. Can be AoE."
AoE Ranges,
"The length of AoE ranges cannot be increased/decreased, unless specified otherwise.",
Burst X,"Targets in a square area, X tiles out from each side of the user."
Star X,Targets all tiles of Range X.
Pierce X,Targets all tiles in one direction of Line X (cardinally or diagonally). Cannot target through obstructed Corners.
Beam X,Hits an area three tiles wide in front of the user and X tiles deep.
Cone X,"Hits in a triangle area in front of the user in a cardinal direction. Cone 1 is the 3 spaces in front of the user in melee, Cone 2 is those plus the 5 spaces behind them, etc."
Other Attributes,
Advantage,"Rolls with Advantage roll each dice twice, then only user the higher roll of each individual pair of dice. (Roll using %roll XdY+Z adv.) This is a positive dice and damage factor."
Disadvantage,"Rolls with Disadvantage roll each dice twice, then discard (don't use) the higher roll of each individual pair of dice. (Roll using %roll XdY+Z disadv.) This is a negative dice and damage factor."
Delay,"Delay moves have their damage and effects delayed for a specified number of rounds, hitting at the start of the user's turn. Damage is rolled when the move is used, with damage altering effects applied on use."
Bomb Dice,"The top 25% of potential dice faces (d2 and above) (d6: 5+, d8: 7+, d10: 8+, etc.) spawn an extra dice roll. Extra dice rolls generated this way are also considered bomb dice. (Roll using %roll XdY+Z bomb.) This is a positive dice and damage factor."
Inverse Bomb Dice,"The top 25% of potential dice faces (d2 and above) (d6: 5+, d8: 7+, d10: 8+, etc.) create an extra dice roll that subtract from the total roll instead of adding. (Roll using %roll XdY+Z inversebomb.) This is a negative dice and damage factor."
Multi-Hit,The attack has multiple hits. Roll accuracy for each individual hit and calculate damage accordingly. Only the first hit adds ATK/MAG and subtracts DEF. Outside effects that trigger based on accuracy only trigger once.
Pull X,"The target is moved X tiles towards the user in a straight line, following the ""Range"" range type.
(Some angles pull targets across the corners of four tiles; targets are fully pulled through unobstructed corners even if they would only be pulled 1 more tile.)"
Push X,"The target is moved X tiles away from the user in a straight line, following the ""Range"" range type.
(Some angles push targets across the corners of four tiles; targets are fully pushed through unobstructed corners even if they would only be pushed 1 more tile.)"
Splash X,"If the move targets a valid entity, it becomes AoE and targets all valid entities within Burst X of the original entity. An attack hits/misses on all targets if it hit/misses the original target. Range modifiers only affect the initial range."
,
