,,,,,
BETA,,,,,
"Beta is for content in a testing phase. To host beta content, users must ask for special permission to host, and you can use the highlight word betasignup. Beta games are looted as normal. To discuss feedback, feel free to use the BD Discord.
Additions to Beta must have a chance of being added and require the endorsement of a staff member. Beta content exists by default for 1 month. This may be extended as long as the content is being developed or tested.
Beta games go in groupchats.",,,,,
Date Added,Change,Created by,Approved by,Last Edited,Last Reviewed
07/July/2026,Beta Items,ThrohOrFalse,ThrohOrFalse,07/07/2026,07/07/2026
08/July/2026,Banner,Ocean,Ocean,08/07/2026,08/07/2026
20/July/2026,Longbow Rework,Salient,Elissem,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
