Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Class Abilities,,,,,,,,,,
,,,,,,,,,,
"Bard (Taistelu, Felucia)",,,,,,,,,,
80 HP | 7 ATK | 7 MAG | 0 PDEF | 0 MDEF | 1.7 EVA | 3 MP ,,,,,,"""A support class that links to an ally to maximise the impact of their class abilities.""",,,,
Duet,1,Every Turn,-,-,-,Free,1,Ally,Global,Apply Duet to one player. Bard abilities also originate from that player and consider them an ally. The user may also use this ability to end their Duet. Effects stack on targets in the overlap; Bard attack targets take an additional hit that uses the same accuracy roll.
Rising Hope,1,Passive,-,-,-,-,AoE,Self and Allies,Burst 1,The user and allies within range have +1 ACC and CR. Players can benefit from a maximum of 2 Rising Hopes at a time.
Dissonance,2,EoT,3,2d6+0,Magical,Swift,AoE,Foes,Cone 2,"Inflict 3 Bleed/1. This attack's hits ignore ATK/MAG, half foes' DEF, and outside damage factors. Damage on targets hit twice is increased by 3 for one round."
Primadonna,3,Twice/E3T,-,-,-,Free,AoE,Self and Allies,Star 4,"If the player this ability originates from has more MAG than ATK, target's gain +4 MAG/1 and -3 MDEF/1; otherwise, targets gain +4 ATK/1 and -3 MDEF/1. Targets whose ATK and MAG are buffed by this also gain +1 damage dice/1, which doubles on critical hits."
Fantasia,4,Thrice/EoT,-,-,-,Free,1,Self,-,"Select a bonus: +3 ATK/MAG, +1 ACC/CR, +4 DEF. Until the start of the user's next turn, Rising Hope becomes Star 2 and additionally grants the bonuses selected during this and prior uses of Fantasia. The user may not pick the same bonus more than once."
Staccato,5,Once,2,1d6+0,-,Reaction,1,Foe,Global,"This may be used when a foe attacks the user or their Duet ally, after damage is rolled. Apply hits to the target and foes within Star 2 of the user and Duet ally. Each hit inflicts -2 DEF/1 and -1 EVA/1. If the attacker kills the Duet ally, the user gains a permanent +2 MP, ACC and CR. This attack ignores outside damage factors."
Blacksmith (Methridium),,,,,,,,,,
65 HP | 9 ATK | 8 MAG | 4 PDEF | 6 MDEF | 0.9 EVA | 3 MP ,,,,,,"""A specialist in trapping and area denial; corner your foes, or make them regret approaching you.""",,,,
Ironclad,1,Passive,-,-,-,-,-,-,-,"When an attack deals 40+ damage to the user, the attacker is inflicted with 2 Cripple/1; if 55+ (before this effect), 10% of its damage is nullified, and dealt back to the attacker."
Mantrap,1,Thrice/EoT,-,-,-,Free,1,Tile,Homing 5,"When a foe ends their turn within or willingly enters the targeted tile's Star 1, the user may, as a Reaction, inflict them with 3 Cripple/1 and -4 DMG/1, removing this effect."
Smokescreen,2,E3T,-,-,-,Free,-,Self,-,"Until the start of the user's next turn, all attacks entering the user's Burst 2 have -2 Range and -7 DMG, and attacks used within the user's Burst 2 have -2 Range."
