Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Dueler Abilities,,,,,,,,,,
,,,,,,,,,,
Gladius (bro torterra),,,,,,,,,,
70 HP | 16 ATK | 3 MAG | 5 PDEF | 1 MDEF | 0.5 EVA | 2 MP ,,,,,,"""Swap between three different weapons to respond to any situation!""",,,,
Triumvirate,1,Passive,-,-,-,-,-,Self,-,"The user may swap between the following subweapons, each with respective effects:
 - Gladius: +1 dice on the user's attacks,
 - Scutum: attacks from range against the user lose 5 damage,
 - Pilum: Melee attacks gain +3 range.
As a Standard action, the user may swap to any subweapon. Swapping due to a move effect occurs regardless of hit or miss. The user starts the game in Gladius."
Exercitus,1,Every Turn,3,3d6+6,Physical,Standard,1,Foe,Melee,"If in Gladius, swap to Scutum. If in Scutum, this has Push 3 and swap to Pilum. If in Pilum, this inflicts 4 Cripple/1 and swap to Gladius. "
Disengage,2,EoT,4,2d10+7,Physical,Standard,1,Foe,Melee,"If used in Gladius, this attack inflicts -2d6 DEF/1 and has Push 1. If used in Scutum, the user takes half damage from AoE attacks for one round and is pushed back one tile. The user switches to Pilum."
Forward Jab,3,EoT,3,1d12+10,Physical,Standard,1,Foe,"Line 6
(Pull 3)",The user must be in Pilum to use this move. This attack has +1 base dice and Pull 4 against targets over 4 tiles away. The user switches to either Gladius or Scutum.
Breach,4,EoT,4,2d8+8,Physical,Standard,1,Foe,Range 4,"The user switches to either Gladius or Scutum. If Gladius, for one round, foes who enter the user's melee take 3d8 damage. If Scutum, for one round, the user and allies in Burst 2 cannot have their DEF ignored. The user must switch subweapons."
Phalanx,5,Twice/EoT,3,3d4+1,Physical,Reaction,1,Foe,Range 4,"If in Scutum, this may be used on a foe hitting the user or an ally in the user's melee. If the target is in melee, this has +1 dice and the user swaps to Gladius. Else, swap to Pilum. This ignores outside factors, does not add ATK/MAG, and ignores half DEF."
Shield Wall,6,Twice/EoT,4,2d10+4,Physical,Standard,AoE,Foes,Cone 1,"The user must be in either Gladius or Pilum to use this move. The user switches to Scutum and for one round, the flat modifier in base rolls on attacks targeting the user become negative. This may be used as a non-damaging Standard."
Iberian Steel,7,EoT,-,-,-,Free,-,Self,-,"Subweapons are ""used"" when the user uses a weapon attack or weapon standard in it. 
The user's next attack this turn in a subweapon with fewer uses than both others gains +1 dice. If it has 2+ fewer uses than both others, it also gains +2 ACC."
Deus Vult,8,Once,4,2d12+2,Physical,Standard,1,Foe,Melee,"If used in Scutum, before accuracy, for one round, the user cannot be affected by any status or debuff and has any such effect removed."
