Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Trophy Abilities,,,,,,,,,,
The Trophy Branch is a rotating branch. Weapons are added through the Trophy Contests! Latest Update: July 2026 (Trophy 2),,,,,,,,,,
,,,,,,,,,,
Cutlass (SilverPath),,,,,,,,,,
65 HP | 12 ATK | 5 MAG | 6 PD | 4 MD | 0.6 EVA | 2 MP,,,,,,"""Best foes, even when you're down, with disruptive utility!""",,,,
Scoundrel,1,Passive,-,-,-,-,-,-,-,"When the user rolls 13 or below on their damage roll of a Cutlass attack (excluding base modifier and ATK/MAG/DEF), the user gains 1 Coin. Any number of Coins can be spent when the user uses a Cutlass move that's effect contains ""chooses"", the user then chooses an additional option. "
Dirty Trick,1,Every Turn,3,3d8+3,Physical,Standard,1,Foe,Melee,"The user chooses Push/Pull, Splash, Buff, or Status. For one round, the target's Standard attacks do not have the chosen attribute or apply the chosen effect (other parts of its effect still apply if possible)."
Fancy Footwork,2,EoT,3,4d6+2,Physical,Standard,1,Foe,Range 4,"The user chooses Trip or Slip. Trip: For one round, the target must move at least 2 tiles per direction they willingly move. Slip: The user teleports to a tile in an entity's Melee within Range 4."
Scallywag Slice ,3,E3T,3,3d8+0,Physical,Standard,1,Foe,Melee,"The user chooses Outwit or Befuddle. Outwit: This attack gains +1 CR, and the target's Crit Range becomes 1 for the first hit of their next Standard attack. Befuddle: Before accuracy, the target ignores positive effects of tiles for one round."
Blinding Sheen,4,Twice/E3T,2,3d8-8,Physical,Swift,1,Foe,Range 4,"The user may spend a Coin to inflict -DEF equal to this attack's damage until the end of this turn. This move ignores outside factors, ATK/MAG, and DEF."
Swindler,5,Passive,-,-,-,-,-,-,-,"When the user spends a Coin on an attack, roll 1d2. 1: The user gains -1 dice to the attack and +DMG equal to half the size of the dice removed. 2: The attack treats base rolls of 13 or lower (excluding base modifier) as 16."
Boot Pin,6,Twice/EoT,3,4d6-2,Physical,Standard,1,Foe,Range 3,The user chooses to inflict 6 Poison/2 or 6 Cripple/2 on the target. The user gains +3 DMG/1 at the start of their turns for every 6 damage the target takes from the statuses inflicted by this move. The target can remove a status from this move as a Swift.
Shady Bet,7,Once,4,4d6-2,Physical,Standard,1,Foe,Melee,"If this attack causes the user to gain a Coin, the user gains a Trick Coin instead, which functions like a Coin and has the user choose the effect of Swindler. The user can spend a Coin to gain a Trick Coin from this attack, ignoring Scoundrel."
Buy Time,8,Twice,-,-,-,Free,-,Self,-,The user spends a Coin to extend the next Cutlass attack's effect by +1 round.
