,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bifurcation,,,,,,nyoom,,,,,,pond,,,,,,duelingground,,,,,,slushrush,,,,,,garden,,,,,,sprint,,,,,,steamvent,,,,,,miniarena,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,f,b,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,b,f,b,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,unabletorun,,,,,,minicrossroads,,,,,,vortex,,,,,,ntr,,,,,,plus,,,,,,convergence,,,,,,weave,,,,,,blade,,,,,,tinyring,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s,i,i,i,s,,s,s,a,s,s,,w,w,w,w,w,,,,,,bt,,,,,,,,,,,,,,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i,,,,i,,s,,st,,s,,,w,w,w,,,,,,bt,l,,,,,,,,,,,,,,a,,a,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i,,,,i,,a,st,a,st,a,,,,s,,,,a,a,s,f,st,,,,,,,,,,,,,,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i,,,,i,,s,,st,,s,,,f,f,f,,,,,,w,i,,,,,,,,,,,,,,,,,,,s,a,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s,i,i,i,s,,s,s,a,s,s,,f,f,f,f,f,,,,,,w,,,,,,,,,,,,,,,,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,realntr,,,,,,glint,,,,,,funnel,,,,,,prism,,,,,,combatring,,,,,,ouch,,,,,,slowdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,w,w,,,,,,w,w,,,a,a,s,a,,,,f,f,i,i,,,w,bt,bt,bt,bt,w,,,,,,,,,w,w,w,a,a,a,,,,,,,,,,,,,,,,,,,,
,,st,st,st,st,,,,f,f,f,w,,,,,b,b,w,w,,,s,,,a,,,,f,,,i,,,w,,,,,w,,,,,,,,,w,w,w,a,a,a,,,,,,,,,,,,,,,,,,,,
,,st,st,st,st,,,,f,w,w,w,,,w,w,b,b,,,,,a,,,s,,,,i,,,f,,,w,,,,,w,,,,,,,,,a,a,a,w,w,w,,,,,,,,,,,,,,,,,,,,
,,,,,,,,f,f,w,,,,,w,w,,,,,,,a,s,a,a,,,,i,i,f,f,,,w,bt,bt,bt,bt,w,,,,,,,,,a,a,a,w,w,w,,,,,,,,,,,,,,,,,,,,
,gluetrap,,,,,,,twinsnakes,,,,,,,puddles,,,,,,,adder,,,,,,,pinering,,,,,,,passage,,,,,,,fracture,,,,,,,minigradient,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inchworm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,st,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,st,st,st,,,,,,st,,,,,,a,a,,a,a,,,,,f,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,w,st,st,st,,,,,,i,,,,,,a,s,w,s,a,,,,w,a,a,a,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,w,b,st,st,,,st,st,i,i,i,st,st,,,,w,w,w,,,,,w,a,a,a,w,,,st,i,,,,i,st,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,st,f,f,,,,,,,i,,,,,,a,s,w,s,a,,,,w,a,a,a,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,f,f,,,,,,,st,,,,,,a,a,,a,a,,,,,f,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,st,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7x7,,diodes,,,,,,7x7,,abstraction,,,,,,7x7,,quad,,,,,,7x7,,minifountain,,,,,,7x7,,compressedair,,,,,,7x7,,tileemporium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
