Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Archer Abilities,,,,,,,,,,
,,,,,,,,,,
"Crossbow (Zuko743, Elissem)",,,,,,,,,,
65 HP | 15 ATK | 10 MAG | 3 PDEF | 3 MDEF | 1 EVA | 2 MP ,,,,,,"""A weapon with increased effectiveness the more you hunt an enemy down.""",,,,
Hunter's Mark,1,Passive,-,-,-,-,-,-,-,"When the user's Crossbow attack resolves, targets of that attack each gain one Mark. The user's attacks deal +1d4 damage for every Mark on any one of its targets. Marks only apply to their user's abilities."
Arrow Flurry,1,Every Turn,3,2d8+7,Physical,Standard,1,Foe,Range 6,"If the original target has a Mark, this move has Splash 1. If the target has 3+ Marks, this move instead has Splash 2."
 Cursed Bolts,2,EoT,3,2d8+4,Magical,Standard,1,Foe,Line 6,"The target is inflicted with 3X Curse/1, where X is Marks on the target. If the target has 3+ Marks, this move ignores negative outside damage factors."
Arrow Net,3,E3T,4,3d8+4,Physical,Standard,1,Foe,Range 6,"Before damage, the target takes 3 damage every time they gain a Mark from the user for one round."
Pierce,4,EoT,5,2d8+5,Physical,Standard,AoE,Foes,Pierce 6,"If a target has 1+ Marks, this move ignores evasions and 1/4 DEF. If a target has 2+ Marks, this move also ignores negative accuracy modifiers and ignores 1/2 DEF instead."
Bolt Compaction,5,Twice/EoT,-,-,-,Free,1,Self,-,"This turn, the user negates the secondary effects of their Standard Crossbow attacks. Next turn, regardless of if the negated attack hit, their first Standard attack has +1 dice and the negated effects."
Quick Scope,5,Twice/EoT,3,1d4+4,Physical,Swift ,1,Foe,Range 6,"This move ignores ATK/MAG, half of the target's DEF, and outside damage factors (except Hunter's Mark)."
Explosive Shot,6,Once,4,2d8+2,Physical,Standard,1,Foe,Range 6,"The target holds a ""Bomb"". If a foe with a Bomb targets another foe (including their allies) they transfer the Bomb to one of their targets.
After one round or when the holder dies, the Bomb detonates and deals Xd4 Bomb damage to foes in the Bomb's Burst 1. X = the foe who held the Bomb with the most Marks."
Tornado Bolt,7,Twice/EoT,4,1d8+4,Magical,Standard,1,Foe,Line 6,"This move has Push X equal to 1 + # of Marks on the target. If the target cannot be pushed the full distance, they gain +1 Mark."
Shadow Quiver,8,Once,-,-,-,Swift ,-,Self,-,"The user's next standard attack becomes Magical, treats non-player obstructions as Air tiles, and ignores non-targets. This attack loses 2 damage per Air tile passed through."
Serrated Arrows,9,Twice/E3T,4,2d8+5,Physical,Standard,1,Foe,Range 6,The target is inflicted with X Bleed/1 equal to half of the damage from this attack's Hunter's Mark.
Final Hour ,10,Once,-,-,-,Free ,1,Self,-,"On the user's next attack, Hunter's Mark has +4 dice faces."
