Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Clairvoyant Abilities,,,,,,,,,,
,,,,,,,,,,
Cards (Felucia / beautifications),,,,,,,,,,
60 HP | 5 ATK | 8 MAG | 4 PDEF | 7 MDEF | 1.1 EVA | 2 MP ,,,,,,"""A high variance weapon that rewards the fortunate.""",,,,
Card Flip,1,Every Turn,3,3d8+5,Magical,Standard,1,Foe,Range 4,"Roll a d3 after rolling damage. If a 1 is rolled, this move deals 0.8x damage. If a 3 is rolled, this move deals 1.3x damage. Outside factors to damage are also affected by these multipliers."
Discard,2,EoT,2,3d10+2,Magical,Standard,1,Foe,Range 5,"Roll a d20, on 15+ store a reroll that can be used to reroll any cards effect as a Once/Trigger action."
Roulette,3,EoT,3,3d8+5,Magical,Standard,1,Foe,Range 4,"Roll a 1d8 to inflict a random status on the opponent, then roll a d3. If the d3 roll is 1, status the user instead. Statuses: 1 = 10 Bleed/1, 2 = 10 Poison/1, 3 = 10 Burn/1, 4 = 6 Cripple/1, 5 = Root/1, 6 = Seal/1, 7 = Stun/1, 8 = Confusion/1."
Gamble,4,Twice/EoT,3,3d8+3,Magical,Standard,1,Foe,Range 3,Roll d7. 1 = subtract the target's ATK and MAG. 2 = subtract the higher of the target's offensive stats. 3 = subtract the user's ATK. 4 = add the user's ATK. 5 = add the target's higher offense stat. 6 = add the user's MAG again. 7 = add the user's ATK and the target's ATK and MAG. This attack still adds the user's MAG and ignores 10 DEF.
Double or Nothing,4,Twice/EoT,-,-,-,Trigger,1,Any,Range 4,"The user rolls a d2. On a 1, the target can't use Swift/Free actions until the end of the user's next turn. On a 2, the target gains an extra Swift action (or multiple Free actions) until the start of the user's next turn. If used on Self, this must be used at the start of the user's turn."
Blackjack,5,Twice/EoT,3,3d8+5,Magical,Standard,1,Foe,Range 3,"On a successful hit, roll 2d10, treating 1s as either 1 or 11 (user’s choice). The user may choose to roll additional 1d10s to add to the roll. If the total is 17-20, this attack gains 1 base dice. On a total of 21, this attack instead gains 3 base dice and activates Jackpot. On a total of 22 or higher, the attack instead loses 2 base dice."
Craps,6,Twice/E3T,5,5d10-10,Magical,Standard,1,Foe,Range 3,"This attack has Bomb dice. For every Bomb dice that triggers, the user may pick another foe within the target's Splash 1 to target (the same foe cannot be picked more than once). If 5+ bomb dice is triggered, this attack activates Jackpot. This attack is immune to (non-Cards) positive damage factors. On a critical hit, the extra dice from the critical hit do NOT have Bomb dice. "
