,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP
,Bard,,,,,,,Blacksmith,,,,,,,Cleric,,,,,,,Dancer,,,,,,,Monk,,,,,,,Paladin,,,,,,,Rifter,,,,,,,Skirmisher,,,,,,
Crossbow,145,22,17,3,3,2,5,130,24,18,7,9,1,5,120,22,20,5,7,1,5,135,26,20,5,7,2,5,135,27,21,4,4,2,4,150,21,16,9,9,2,4,125,27,23,5,5,1,5,130,28,23,4,5,2,6
Longbow,140,26,20,0,2,2,3,125,28,21,4,8,1,3,115,26,23,2,6,1,3,130,30,23,2,6,2,3,130,31,24,1,3,1,2,145,25,19,6,8,1,2,120,31,26,2,4,1,3,125,32,26,1,4,2,4
Shortbow,140,20,18,2,1,2,6,125,22,19,6,7,1,6,115,20,21,4,5,0,6,130,24,21,4,5,1,6,130,25,22,3,2,1,5,145,19,17,8,7,1,5,120,25,24,4,3,0,6,125,26,24,3,3,2,7
Cards,140,12,15,4,7,2,5,125,14,16,8,13,2,5,115,12,18,6,11,1,5,130,16,18,6,11,2,5,130,17,19,5,8,2,4,145,11,14,10,13,2,4,120,17,21,6,9,1,5,125,18,21,5,9,3,6
Lunar Rod,150,10,22,0,3,2,5,135,12,23,4,9,1,5,125,10,25,2,4,1,5,140,14,25,2,7,2,5,140,15,26,1,4,1,4,155,9,21,6,9,1,4,130,15,28,2,5,1,5,135,16,28,1,5,2,6
Orb,140,16,25,1,6,2,4,125,18,26,5,12,1,4,115,16,28,3,10,1,4,130,20,28,3,10,2,4,130,21,29,2,7,1,3,145,15,24,7,12,1,3,120,21,31,3,8,1,4,125,22,31,2,8,2,5
Athame,145,16,19,5,2,2,6,130,18,20,9,8,1,6,120,16,22,7,6,1,6,135,20,22,7,6,2,6,135,21,23,6,3,2,5,150,15,18,11,8,2,5,125,21,25,7,4,1,6,130,22,25,6,4,2,7
Scythe,135,16,23,6,4,2,5,120,18,24,10,10,1,5,110,16,26,8,8,1,5,125,20,26,8,8,2,5,125,21,27,7,5,1,4,140,15,22,12,10,1,4,115,21,29,8,6,1,5,120,22,29,7,6,2,6
Totems,145,10,21,0,7,2,4,130,12,22,4,13,1,4,120,10,24,2,11,1,4,135,14,24,2,11,2,4,135,15,25,1,8,1,3,150,9,20,6,13,1,3,125,15,27,2,9,1,4,130,16,27,1,9,2,5
Gladius,150,23,10,5,1,2,5,135,25,11,9,7,1,5,125,23,13,7,5,1,5,140,27,13,7,5,2,5,140,28,14,6,2,1,4,155,22,9,11,7,1,4,130,28,16,7,3,1,5,135,29,16,6,3,2,6
Quarterstaff,145,23,7,5,3,2,5,130,25,8,9,9,1,5,120,23,10,7,7,1,5,135,27,10,7,7,2.5,5,135,28,11,6,4,2,4,150,22,6,11,9,1,4,125,28,13,7,5,1,5,130,29,13,6,5,2,6
Tonfa,135,21,19,9,9,2,5,120,23,20,13,15,1,5,110,21,22,11,13,1,5,125,25,22,11,13,2,5,125,26,23,10,10,1,4,140,20,18,15,15,1,4,115,26,25,11,11,1,5,120,27,25,10,11,2,6
Axe,150,31,7,2,0,1,4,135,33,8,6,6,1,4,125,31,10,4,4,0,4,140,35,10,4,4,1,4,140,36,11,3,1,1,3,155,30,6,8,6,1,3,130,36,13,4,2,0,4,135,37,13,3,2,2,5
Hammer,150,25,14,4,5,2,4,135,27,15,8,11,1,4,125,25,17,6,9,1,4,140,29,17,6,9,2,4,140,30,18,5,6,1,3,155,24,13,10,11,1,3,130,30,20,6,7,1,4,135,31,20,5,7,2,5
Tomahawk,150,22,12,5,3,2,5,135,24,13,9,9,1,5,125,22,15,7,7,1,5,140,26,15,7,7,2,5,140,27,16,6,4,1,4,155,21,11,11,9,1,4,130,27,18,7,5,0,5,135,28,18,6,5,2,6
Crown,145,19,16,3,3,2,5,130,21,17,7,9,1,5,120,19,19,5,7,1,5,135,23,19,5,7,2,5,135,24,20,4,4,1,4,150,18,15,9,9,1,4,125,24,22,5,5,1,5,130,25,22,4,5,2,6
Katana,145,23,21,2,1,2,6,130,25,22,6,7,1,6,120,23,24,4,5,1,6,135,27,24,4,5,2,6,135,28,25,3,2,1,5,150,22,20,8,7,1,5,125,28,27,4,3,1,6,130,29,27,3,3,2,7
Rapier,140,21,19,5,5,2,6,125,23,20,9,11,1,6,115,21,22,7,9,1,6,130,25,22,7,9,2,6,130,26,23,6,6,2,5,145,20,18,11,11,2,5,120,26,25,7,7,1,6,125,27,25,6,7,2,7
Shillelagh,145,24,24,3,3,2,4,130,26,25,7,9,1,4,120,24,27,5,7,1,4,135,28,27,5,7,2,4,135,29,28,4,4,1,3,150,23,23,9,9,1,3,125,29,30,5,5,1,4,130,30,30,4,5,2,5
Spellbook,135,7,22,4,6,2,5,120,9,23,8,12,2,5,110,7,25,6,10,1,5,125,11,25,6,10,2,5,125,12,26,5,7,2,4,140,6,21,10,12,2,4,115,12,28,6,8,1,5,120,13,28,5,8,3,6
Talisman,140,11,16,3,7,3,5,125,13,17,7,13,2,5,115,11,19,5,11,1,5,130,15,19,5,11,2,5,130,16,20,4,8,2,4,145,10,15,9,13,2,4,120,16,22,5,9,1,5,125,17,22,4,9,3,6
Cutlass,145,19,12,6,4,2,5,130,21,13,10,10,1,5,120,19,15,8,8,1,5,135,23,15,8,8,2,5,135,24,16,7,5,1,4,150,18,11,12,10,1,4,125,24,18,8,6,1,5,130,25,18,7,6,2,6
Fangs,140,20,17,5,3,2,4,125,22,18,9,9,1,4,115,20,20,7,7,1,4,130,24,20,7,7,2,4,130,25,21,6,4,1,3,145,19,16,11,9,1,3,120,25,23,7,5,1,4,125,26,23,6,5,2,5
Scissors,150,14,22,4,5,2,5,135,16,23,8,11,1,5,125,14,25,6,9,1,5,140,18,25,6,9,2,5,140,19,26,5,6,2,4,155,13,21,10,11,1,4,130,19,28,6,7,1,5,135,20,28,5,7,2,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
