Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Dark Abilities,,,,,,,,,,
,,,,,,,,,,
Athame (Ocean),,,,,,,,,,
65 HP | 9 ATK | 12 MAG | 5 PDEF | 2 MDEF | 1 EVA | 3 MP ,,,,,,"""Sacrifice your life force to boost your power without limit.""",,,,
Crimson Pact,1,Passive,-,-,-,-,-,-,-,"Whenever the user damages a foe, they sacrifice HP equal to 10% of the total damage the foe took, if able. Then, they gain permanent bonus damage equal to the HP sacrificed. (Bonus damage is also gained through effect-derived CP.)"
Bloodrush,1,Every Turn,2,2d8+4,Magical,Standard,1,Foe,Range 4,"If this move is used from maximum range, the user gains +5 DMG and +1 MP/1."
Defile,2,EoT,4,1d10+5,Magical,Standard,AoE,Foes,Pierce 4,"Targets are inflicted with 3 Curse/1. Whenever a foe takes damage from this Curse, the user takes an equal amount in Crimson Pact."
Purloin Youth,3,E3T,3,3d6+5,Magical,Standard,1,Foe,Melee,"For one round, attacks targeting the user have 10% recoil. The user sacrifices HP to Crimson Pact equal to half the recoil."
Sanctified Blade,4,Once,-,-,-,Swift,1,Self,-,"Crimson Pact's sacrifice amount on the user's next single-target attack is increased by 10%. If the Foe has targeted the user since the beginning of their last turn, the amount is increased by an additional 5%."
Pentagram,5,E3T,4,2d6+3,Magical,Standard,AoE,Foes,Burst 1,"At the start of the user's next turn, foes in the user's Burst 1 take 2d6+3 plus the user's Crimson Pact in damage."
Black Magic,6,Passive,-,-,-,-,-,-,-," For every 5 CP the user has, they have +1 DEF. For every 7 CP, they have +1 ACC.  For every 10 CP, they have +1 damage dice."
Massacre,7,Once,3,2d8+11,Magical,Standard,1,Foe,Melee,"If this kills the target, the user gains twice the amount of Crimson Pact from it and an additional use of Massacre. Otherwise, this move does not trigger Crimson Pact sacrifice."
Covenant,7,Once,-,-,-,Free,1,Ally,Range 3,"For one round, the target shares the user's Black Magic buffs and gains the Crimson Pact passive. Crimson Pact gained by the target is applied to the user instead."
Exsanguinate,8,Once,4,2d8+6,Magical,Standard,1,Foe,Melee,"If the user acquires a Black Magic bonus from the Crimson Pact gained from this move, the bonus gained is increased by 1."
Siphon Soul,9,Twice/EoT,4,3d8+2,Magical,Standard,1,Foe,Range 3,"Before accuracy, the user heals HP equal to their Crimson Pact."
Oblation,10,Once,-,-,-,Swift,-,Self,-,The user's next attack this turn gets double bonus damage from Crimson Pact.
Total Depravity,EX1,Passive,-,-,-,-,-,-,-,"The user's Crimson Pact sacrifice is increased by 5%. At the start of each turn, if the user attacked on their last turn, they take damage equal to their Crimson Pact. This cannot kill the user."
