Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Heavy Abilities,,,,,,,,,,
,,,,,,,,,,
Axe (bro torterra),,,,,,,,,,
70 HP | 24 ATK | 0 MAG | 2 PDEF | 0 MDEF | 0.2 EVA | 1 MP ,,,,,,"""Prioritises colossal damage and ATK over everything else.""",,,,
Bloodlust,1,Passive,-,-,-,-,-,-,-,"Whenever the user deals or takes 15+ damage from an attack, they gain 1 Rage stack."
Feral Chop,1,Every Turn,3,2d10+X,Physical,Standard,1,Foe,Melee,X = 2.5 * the user's current Rage.
Chain Axe,2,Every Turn,4,1d10+2,Physical,Standard,1,Foe,"Range 4
(Pull 3)","For one round, Bloodlust gives an extra Rage per instance of damage."
Power Swing,3,EoT,6,3d10+6,Physical,Standard,1,Foe,Melee,The user spends X Rage to give this move -X MR and +2X Crit Range.
Wide Slash,4,EoT,4,2d10+7,Physical,Standard,AoE,Foes,Cone 1,"Up to 2 times, the user may spend 2 Rage to give this attack +1 range."
Vindictive,5,Passive,-,-,-,-,-,-,-,The user gains 2 Rage when they kill a foe or miss a Standard/Full attack.
Knockback,6,EoT,4,2d10+6,Physical,Standard,1,Foe,"Melee
(Push 1)",This attack inflicts Slow/1. The user may spend a Rage stack to increase this move's Push by 1 and/or instead inflict Cripple 6/1.
Franciscate,7,Twice ,4,3d10+3,Physical,Standard,1,Self or Foe,Line 6,The user gains +2 MP and is Sealed for one round. The user may spend 1 rage to negate the Seal. This may be used as a non-damaging Standard targeting the user.
Gash,8,E3T,5,2d10+8,Physical,Standard,1,Foe,Melee,"The user may spend Rage on this attack. The target is inflicted with 5 Bleed/X, where X is the amount of Rage spent."
Sever,9,Twice/E3T,3,1d10+1,Physical,Standard,1,Foe,Melee,The user may spend Rage on this attack to give it +1 hit and +1 MR per Rage spent.
Amped Strike,10,Once,5,3d10+6,Physical,Standard,1,Foe,"Melee
(Splash 1)",This attack has +damage equal to 4 * the user's Rage. The user loses all Rage.
Swing Cycle,EX1,Passive,-,-,-,-,-,-,-,"At the start of each turn, the user may spend 2 Rage to reset the cooldowns and frequencies of their last two attacks.
Chain Axe becomes EoT. The user starts the game with 1 Rage."
Wrath,EX2,EoT,5,1d10+10,Physical,Standard,1,Tile or Foe,Melee,"The user may spend 2 Rage per effect to gain any combination of the following effects: 
+4d10 to the base roll, Splash 2, -3 MR. 
This cost increases by 1 each time this is used. This has -2 ACC if used on a Tile."
"Hammer (Methridium, Felucia)",,,,,,,,,,
70 HP | 18 ATK | 7 MAG | 4 PDEF | 5 MDEF | 0.8 EVA | 1 MP ,,,,,,"""An AoE-heavy weapon that capitalizes on both player and tile obstructions.""",,,,
