Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Noble Abilities,,,,,,,,,,
,,,,,,,,,,
"Crown (God evening, Datdoiboi, Zuko743)",,,,,,,,,,
65 HP | 12 ATK | 9 MAG | 3 PDEF | 3 MDEF | 0.5 EVA | 2 MP ,,,,,,"""Builds up their defences over time as they decay and refresh.""",,,,
Right to Rule,1,Passive,-,-,-,-,-,Self,-,"The user starts the game with 3 Campaigns (maximum of 3), granting +2 DEF each. The user loses a Campaign when they deal or receive 10 or more damage at once.
When the user makes an attack with no Campaigns, it has +1 dice and +1 accuracy."
Coronation,1,Every Turn,-,-,-,Reaction or Trigger,-,Self,-,"This may be used immediately when the user reaches 0 Campaigns, or at the start of the user's turn when they have no Campaigns. Right to Rule's maximum is increased by 1, and the user gains maximum Campaigns."
Besiege,1,Every Turn,2,2d8+4,Magical,Standard,1,Foe,Range 2,Before accuracy the user may sacrifice up to 10 HP to gain an equal Shield/1. This shield is increased 1.5x if the target has more than half of their max HP.
Bastion,2,EoT,3,3d8+1,Magical,Standard,AoE,Foes,Pierce 4,"For one round, Foes attacks entering the user's Cone 1 (in a chosen direction) lose 2 dice. Until the user leaves Melee range of their current tile they have +4 DEF."
Catapult Campaign,3,EoT,4,2d10+5,Physical,Standard,1,Foe,"Range 4
(Splash 1)","This attack can't be used in Range 2. Targets with >75% HP are inflicted with 5 Bleed/1. If possible, the user may inflict themselves with 10 Bleed/1 to double the Bleed damage."
Ambush,4,Thrice / E3T,3,2d12+8,Physical,Standard,AoE,Foes,Pierce 3,The user loses all Campaigns and Coronation is disabled until the start of the user's next turn. The user gains +0.5 MP/1 and +2 damage/1 for every Campaign lost. This may be used as a non-damaging Swift on the user.
Entrench,5,E3T,3,1d10+8,Magical,Standard,1,Foe,Line 4,"If the user has less than 6 bonus DEF, gain +3 DEF/1. For one round, the user loses an additional Campaign for each instance of Right to Rule"
Crusade,6,Thrice / E3T,-,-,-,Swift,AoE,Self and Allies,Burst 1,Until the start of their next turn the user gains +1 MP and Right to Rule's bonuses are increased by 1. For this duration targetted allies gain +1 MP and the user's unmodified Right to Rule bonuses
War of Attrition,7,E3T,3,2d8+7,Physical,Standard,AoE,Foes,Burst 1,Before damage this attack inflicts the inverse of the user's active Right to Rule bonuses for one round.
Shock and Awe,8,Twice / EoT,4,3d10+0,Magical,Standard,AoE,Foes,Cone 1,"If the user has at least 3 Campaigns, attacks against the user are immune to positive outside factors to damage and accuracy for one round."
