Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
,,,,Roll,Type,Action,Amount,Group,Range,
Basic Abilities,,,,,,,,,,
Basic Attack,B,Every Turn,2,1d10+2,Physical or Magical,Standard,1,Foe,Melee,"This attack is either Physical or Magical. Add ATK/MAG to the damage roll and subtract the target's PD/MD. This move's use cannot be prevented by any means, including Seal."
Basic Movement,B,Every Turn,-,-,-,Movement,-,Self,-,"The user spends MP to move an equal amount of tiles.
(For all purposes, Basic Movement is not an ability, but is still an action.)"
Dash,B,Every Turn,-,-,-,Full,-,Self,-,The user spends MP to move up to x1.5 that amount of tiles (rounded down).
Backstep,B,Passive,-,-,-,-,-,Self,-,"During the user's Movement/Full action, the user has unremovable -2 MP for the rest of the turn after leaving a foe's Melee."
Attack of Opportunity,B,Every Turn,2,1d10+2,Physical or Magical,Reaction,1,Foe,Melee,This may be used on a foe in the user's Melee that either: 1. uses a ranged attack that doesn't target the user (after damage is rolled) or 2. leaves the user's Melee using Dash. (AoO still adds ATK/MAG and DEF.)
Sorcerer Abilities,,,,,,,,,,
,,,,,,,,,,
Shillelagh (Taistelu),,,,,,,,,,
65 HP | 17 ATK | 17 MAG | 3 PDEF | 3 MDEF | 0.5 EVA | 1 MP,,,,,,"""A versatile weapon that manipulates the terrain to harm foes and aid allies.""",,,,
Terraform,1,EoT,-,-,-,Trigger,-,-,-,Place up to three Forest or up to three Water tiles in Cone 1 or cardinal Line 3.
Rototill,1,Every Turn,3,2d6+6,Physical or Magical,Standard,1,Foe,"Range 4
(Pull 3)","This attack is either Physical or Magical. If the target is on a non-Normal tile, this attack loses Pull 3 but gains +1 ACC and +1 dice."
Bioturbation,2,Every Turn,3,3d6+5,Magical,Standard,1,Foe,Range 6,"If there is a non-Normal tile in the user's Burst 1, they may move to a tile of the same type within Range 8. The user may pass through players but cannot end this movement farther away from the target than they started. Players passed through have -7 DEF and -1 EVA for one round."
Blackthorn,3,E3T,4,3d4+5,Physical or Magical,Standard,1,Foe,"Range 4
(Splash 1)","This attack is either Physical or Magical. Before damage, targets have inverted positive tile effects for one round. Gain +4 dice on secondary targets."
Bloom,4,E3T,-,-,-,Free,-,Tile,Star 3,"For one round, Normal tiles in range grant +1 ACC to the user and allies. For this duration, they also grant +4 MAG to these entities if the user's last Standard was Physical, or +4 ATK if the user's last Standard was Magical."
Cryosphere,4,Twice/EoT,-,-,-,Swift,-,Tile,Pierce 5 or Burst 1,Replace up to three unoccupied Water/Stop/Stone tiles in Pierce 5 or Burst 1 (ignoring Range Rule) with Ice for two rounds. Foes ending their turn in melee of this Ice take 15 damage (replaced Stops cannot be entirely surrounded by other Stops).
Hydrolysis,5,Twice/EoT,4,5d4+4,Physical,Standard,AoE,Foes,Pierce 5,This attack gain +2 dice face per foe on Water or Lava.
Wildfire,6,Twice/EoT,4,3d10+0,Magical,Standard,1,Foe,Range 4,"If the target's tile is Forest, set ""Wildfire"" on that tile, all Forest tiles cardinally adjacent to that tile, and so on.
Wildfire: Lasts two rounds. Players who start their turn on Wildfire take 3d4 DMG and have -7 damage on their next Standard/Full attack."
Nature's Madness,7,Twice/EoT,4,3d8+4,Physical,Standard,1,Foe,Range 3,"This move is immune to air tiles, and is augmented depending on the number of certain tile types (X) in the user's Burst 1. After damage, convert utilised tiles to Normal.
Air/Sticky/Boost: +X Range and Damage (max. 3). If X>1, +1 target.
Forest/Water/Lava/Ice: Choose one tile type, and inflict X Bleed (Forest), Poison (Water), Burn (Lava), or Curse (Ice) / 1. If X>3, extend the status duration by one round."
