HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP,HP,A,M,PD,MD,EV,MP
Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard,,,,,,,Blacksmith,,,,,,,Cleric,,,,,,,Dancer,,,,,,
80,7,7,0,0,1.7,3,65,9,8,4,6,0.9,3,55,7,10,2,4,0.6,3,70,11,10,2,4,1.6,3
Monk,,,,,,,Paladin,,,,,,,Rifter,,,,,,,Skirmisher,,,,,,
70,12,11,1,1,1.1,2,85,6,6,6,6,1.0,2,60,12,13,2,2,0.5,3,65,13,13,1,2,1.9,4
Archer,,,,,,,Clairvoyant,,,,,,,Dark,,,,,,,Dueler,,,,,,
Crossbow,,,,,,,Cards,,,,,,,Athame,,,,,,,Gladius,,,,,,
65,15,10,3,3,1.0,2,60,5,8,4,7,1.1,2,65,9,12,5,2,1.0,3,70,16,3,5,1,0.5,2
Longbow,,,,,,,Lunar Rod,,,,,,,Scythe,,,,,,,Quarterstaff,,,,,,
60,19,13,0,2,0.6,0,70,3,15,0,3,0.7,2,55,9,16,6,4,0.6,2,65,16,0,5,3,0.9,2
Shortbow,,,,,,,Orb,,,,,,,Totems,,,,,,,Tonfa,,,,,,
60,13,11,2,1,0.3,3,60,9,18,1,6,0.6,1,65,3,14,0,7,0.7,1,55,14,12,9,9,0.8,2
Heavy,,,,,,,Noble,,,,,,,Sorcerer,,,,,,,Trophy,,,,,,
Axe,,,,,,,Crown,,,,,,,Shillelagh,,,,,,,Cutlass,,,,,,
70,24,0,2,0,0.2,1,65,12,9,3,3,0.5,2,65,17,17,3,3,0.5,1,65,12,5,6,4,0.6,2
Hammer,,,,,,,Katana,,,,,,,Spellbook,,,,,,,Fangs,,,,,,
70,18,7,4,5,0.8,1,65,16,14,2,1,0.6,3,55,0,15,4,6,1.2,2,60,13,10,5,3,0.5,1
Tomahawk,,,,,,,Rapier,,,,,,,Talisman,,,,,,,Scissors,,,,,,
70,15,5,5,3,0.4,2,60,14,12,5,5,1.0,3,60,4,9,3,7,1.3,2,70,7,15,4,5,0.9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
