Move Name,Effects,Alias,Notes
Basic Attack,"Can be used while Sealed,Choice",batk,
Dash,Resource Loss,,
Backstep,"Passive,Conditional",,
Attack of Opportunity,"Reaction,Choice",aoo,
Duet,,,
Rising Hope,"Passive,Accuracy Modifier",rh,
Dissonance,"Damaging Status,Debuff,Outside Damage Factors Ignored,DEF Ignore,Damage Modifier,Conditional",disso,
Primadonna,"Conditional,Buff,Debuff,Damage Modifier",prima,
Fantasia,"Choice,Accuracy Modifier,Damage Modifier,Target Modifier",fant,Need to somehow tie the acc_mod and dmg_mod based on the choice
Staccato,"Reaction,Conditional,Accuracy Modifier,Multi-hit,Debuff,Damage Modifier","stac, stacc",
Ironclad,"Passive,Conditional,Recoil,Non-damaging Status,Damage Modifier",,
Mantrap,"Reaction,Tile Effect,Non-damaging Status,Debuff,Damage Modifier",,
Smokescreen,"Target Modifier,Damage Modifier,Conditional",,
Tinker's Dam,"Tile Placement,Tile Effect,Damaging Status,Choice",tdam,
Reforge,"Choice,Debuff,Buff,Immunity,Damage Modifier",,
Mending Mantel,"Tile Placement,Tile Effect,Conditional,Heal,Buff,Damage Modifier","mantel, hearth",
First Aid,"Heal,Choice,Conditional",faid,
Ward,Immunity,,
Heaven's Wind,"Target Displacement,Self Displacement",hwind,
Martyrdom,"Buff,Conditional,Effect Modifier",martyr,
Vestments,"Heal,Choice,Conditional",vest,
Pas De Deux,Conditional,pdd,
Emboite,Frequency Modifier,embot,
Fouette,Frequency Modifier,,
Enpointe,Passive,,
Divertissement,"Dice Modifier,Immunity",divert,
Qi Force,"Resource Gain,Conditional,Passive,Damage Modifier,Effect Modifier",,
Soulstep,"Outside Damage Factors Ignored,DEF Ignore","step, sstep",
Eightfold Shield,"Resource Loss,Buff,Damage Modifier,Choice","efs, 8fs",
Conversion,"Resource Loss,Damage Modifier,DEF Ignore,Choice,Target Modifier,Buff",,
Nirvana,"Resource Loss,Choice,Damage Modifier,Buff",nirv,
Aegis,"Reaction,Damage Modifier,Self Displacement",,
Pavise,"Conditional,Damage Modifier,Buff",,
Impasse,"Conditional,Immunity,remove",,
Radiance,"Buff,Effect Modifier",rad,
Oath of Mercy,"Heal,Damage Modifier",oom,
Rewind,"Reaction,Damage Modifier",,
Warp,"Debuff,Foe ignore",,
Superposition,"Resource Gain,Reaction,Accuracy Modifier","core, encore, sp, suppos",
Fractal Division,Target Modifier,fd,
Time's Edge,"honestly this thing deserves its own logic,Accuracy Modifier,Damage Modifier,Outside Damage Factors Ignored,DEF Ignore",te,
Adrenaline,"Passive,Effect Modifier",,
Lightspeed,honestly this thing deserves its own logic,"rushdown, glide",
Outmaneuveur,"Resource Loss,Accuracy Modifier,Conditional",outman,
Quick Thinking,"Resource Loss,Immunity",qt,
Tunneling,Tunneling,tunnel,
Wormhole,Tile Effect,wh,
Hunter's Mark,"Passive,Damage Modifier","hm, hmark",
Arrow Flurry,"Conditional,Target Modifier","af, aflurry",
Cursed Bolts,"Damaging Status,Conditional,Immunity","cb, cbolts",
Arrow Net,Effect Modifier,anet,
Pierce,"Conditional,DEF Ignore,Immunity",,
Bolt Compaction,"Effect Modifier,Damage Modifier,Buff","bc, bcompact",
Quick Scope,"Outside Damage Factors Ignored,Conditional,DEF Ignore","qs, qscope",
Explosive Shot,"Resource Gain,Conditional,honestly this thing deserves its own logic","eshot, es",
Tornado Bolt,"Target Displacement,Conditional,Resource Gain","tbolt, tb",
Shadow Quiver,"Damage Modifier,Foe ignore,honestly this thing deserves its own logic","squiver, sq",
Serrated Arrows,"Conditional,Damaging Status","sarrows, sa",
Final Hour,Effect Modifier,fh,
Bolt Arsenal,"Choice,Resource Gain,Target Modifier,Target Displacement",,
Quiver of Thunder,"Target Modifier,Conditional,Resource Gain",,
Bound Bow,"Effect Modifier,Damage Modifier,Conditional,Buff,Passive",,
Long Shot,"Conditional,Damage Modifier,Buff,Accuracy Modifier",,
Crippling Shot,"Non-damaging Status,Conditional",,
Retreat,"Resource Loss,Immunity,Effect Modifier",,
Chase Arrow,"Choice,Target Modifier,Damage Modifier",,
Sniper's Focus,"Conditional,Passive,Effect Modifier",,
Jump Shot,"Conditional,Accuracy Modifier,Buff",,
Blessed Arrow,Effect Modifier,,
Volley,"Conditional,Target Modifier",,
Fireworks,"Conditional,Dice Modifier,Damaging Status",,
Snipe,Conditional,,
Storm Cycle,"Passive,Conditional,Damage Modifier,Target Displacement",,
Lightning Draw,"Target Modifier,Damage Modifier,Conditional",,
Hawkeye,"Passive,Accuracy Modifier,Choice",,
Blitz,"Multi-hit,Conditional,Buff,Damage Modifier",,
Windmill,"Accuracy Modifier,Buff,Conditional",,
Hook Shot,"Conditional,Choice,Target Displacement",,
Splinter,"Damage Modifier,Buff,Debuff,Multi-hit",,
Salvo,"Multi-hit,Target Modifier,honestly this thing deserves its own logic",,
Trick Shot,"Conditional,Target Modifier,Damage Modifier",,
Surge,"Multi-hit,honestly this thing deserves its own logic",,
Venom Shot,"Conditional,Damaging Status",,
Sagittarian Pride,"Multi-hit,Conditional,honestly this thing deserves its own logic",,
Arrow Storm,Multi-hit,,
Shrapnel Tip,Conditional,,
Overdraw,"Conditional,Accuracy Modifier,Effect Modifier",,
Card Flip,"Conditional,Damage Modifier",,
Discard,"Conditional,Resource Gain",,
Roulette,"Conditional,Damaging Status,Non-damaging Status",,
Gamble,"Damage Modifier,Conditional,DEF Ignore",,
Double or Nothing,honestly this thing deserves its own logic,,
